Week,Australia vs India: (Worldwide),India vs England: (Worldwide),IPL: (Worldwide),NBA: (Worldwide),Euro 2021: (Worldwide)
1/3/21,45,<1,1,20,<1
1/10/21,68,1,1,20,<1
1/17/21,58,1,3,20,<1
1/24/21,<1,<1,1,20,<1
1/31/21,<1,32,1,21,<1
2/7/21,<1,79,2,20,<1
2/14/21,<1,64,9,20,<1
2/21/21,1,42,2,21,1
2/28/21,2,58,2,20,1
3/7/21,<1,16,3,18,1
3/14/21,<1,61,2,18,1
3/21/21,<1,58,2,20,1
3/28/21,<1,34,5,19,1
4/4/21,<1,<1,30,18,1
4/11/21,<1,<1,65,19,1
4/18/21,<1,<1,81,19,1
4/25/21,<1,<1,83,18,1
5/2/21,<1,<1,32,21,1
5/9/21,<1,<1,3,24,1
5/16/21,<1,<1,3,29,3
5/23/21,<1,<1,2,37,4
5/30/21,<1,<1,2,38,7
6/6/21,<1,<1,1,32,28
6/13/21,<1,2,1,35,68
6/20/21,<1,1,1,35,67
6/27/21,<1,2,1,29,73
7/4/21,<1,1,1,24,41
7/11/21,<1,1,1,22,19
7/18/21,<1,1,1,22,1
7/25/21,<1,<1,2,15,1
8/1/21,2,39,1,11,1
8/8/21,<1,46,1,8,1
8/15/21,<1,29,1,7,1
8/22/21,<1,43,1,5,1
8/29/21,<1,32,2,5,1
9/5/21,<1,33,2,6,1
9/12/21,<1,1,5,5,1
9/19/21,1,<1,59,5,1
9/26/21,2,<1,75,5,1
10/3/21,1,<1,100,10,1
10/10/21,<1,<1,77,10,<1
10/17/21,6,7,5,20,<1
10/24/21,<1,<1,5,23,<1
10/31/21,<1,<1,3,22,<1
11/7/21,<1,<1,2,23,<1
11/14/21,<1,<1,2,22,<1
11/21/21,<1,<1,1,21,<1
11/28/21,<1,<1,3,22,<1
12/5/21,<1,<1,1,20,<1
